id_estudiante,F,var_F,num_obs,score_ciencia,score_num,score_social,observaciones
1,0.9999999776836086,0.19472945298074826,10,0,0,1,Excelente redacción en ensayos | Participación destacada en debates | Líder natural en trabajos grupales | Respetuoso con el material del aula y mobiliario | Representante estudiantil | Modelo de comportamiento en formación y actos cívicos | Disfruta crear presentaciones visuales para sus exposiciones | Gestiona el tiempo de estudio con apoyo de apps digitales | Solicita retroalimentación extra para mejorar sus textos | Participó voluntariamente en campaña de lectura a niños de primaria
2,0.9999999711497454,0.2542054032928831,11,0,0,0,Dificultades en Matemática | Mejoró asistencia | Falta de organización en su espacio de trabajo (mochila desordenada) | Mejoró notablemente en participación tras trabajo con psicólogo | Inició tutorías entre pares | Prefiere aprender con videos cortos antes que libros | Disfruta armar rompecabezas de madera en los recreos | Recuerda fechas y datos históricos sin esfuerzo | Propuso crear un mural gráfico para repasar contenidos | Siente ansiedad cuando el pizarrón está lleno de fórmulas | Demuestra empatía al escuchar a sus compañeros
3,0.9999999846461427,0.21178245334415582,11,0,0,0,Ausencias recurrentes | Constante distracción con el celular durante clases | Aislamiento social durante recreos | Inició terapia externa | Incorporado a grupo de teatro escolar para socialización | Disfruta improvisar monólogos cómicos en clase | Escribe cuentos cortos en su cuaderno personal | Prefiere trabajar de pie antes que sentada | Baila cuando hay música de fondo mientras realiza tareas | Solicita roles de actuación en proyectos escolares | Recuerda líneas de texto después de leerlas dos veces
4,0.9999999996504894,0.20107867980326777,11,1,0,0,Excelente desempeño en Ciencias Sociales | Ayuda espontáneamente a compañeros con dificultades | Organizador del club de ciencias | Creador de material didáctico para ayudar a compañeros | Ganador de feria científica regional | Construye maquetas de ciudades con cartón y pegamento | Explica mapas conceptuales mejor que el profesor | Prefiere leer sobre historia de la ciencia antes que ficción | Propuso crear un museo escolar de minerales | Diseña pósters informativos con dibujos claros y colores armoniosos | Siente curiosidad por el funcionamiento de los puentes y rascacielos
5,0.9999999993556555,0.2701057872219552,11,1,0,0,Representante en olimpiadas de Matemática | Competitiva en exceso | Excelente manejo del tiempo en presentaciones orales | Presión excesiva de familia afecta su desempeño social | Aprendió a delegar en trabajos grupales | Crea infografías complejas para resumir temas de física | Resuelve sudokus de nivel avanzado en sus ratos libres | Prefiere trabajar en silencio antes que con música | Propuso un sistema de puntos para mejorar la puntualidad del curso | Siente satisfacción al terminar problemas largos de matemática | Demuestra autocritica constructiva tras recibir feedback
6,0.9999999973509573,0.21591149984951535,11,1,0,1,Bajo rendimiento en Formación Humana | Conflictos frecuentes con compañeros durante Educación Física | Desinterés por actividades culturales y artísticas de la escuela | Participó en concurso de oratoria | Descubrió talento artístico en taller de pintura extracurriculr | Dibuja historietas de superhéroes en márgenes de cuadernos | Prefiere explicar con dibujos antes que con palabras | Construye figuras 3D con palillos y plastilina | Solicitó incorporarse al taller de arte avanzado | Siente calma al colorear mientras escucha música instrumental | Utiliza el arte para regular emociones tras conflictos
7,0.9999999995965858,0.20497337722499578,11,3,0,1,Excelente en proyectos de Ciencias | Muestra curiosidad científica | Líder del comité de reciclaje del aula | Inventó experimento casero que compartió con toda la clase | Creador de blog científico estudiantil con alto impacto | Diseña carteles informativos sobre cuidado del medio ambiente | Prefiere documentales de ciencia antes que series de ficción | Construye filtros de agua con materiales reciclables | Propuso crear un huerto escolar con compostaje | Siente entusiasmo al explicar fenómenos cotidianos | Planifica grabar podcasts divulgativos con compañeros
8,0.9999999940632859,0.24707102155191113,11,0,0,1,Destacado en competencias deportivas | Impaciente en explicaciones | Excelente espíritu deportivo | Lesión deportiva afectó su ánimo en el aula | Capitan del equipo de baloncesto | Diseña jugadas de baloncesto en pizarrón para sus compañeros | Prefiere aprender moviéndose antes que sentado | Siente frustración en clases teóricas largas | Propuso crear un torneo intramural de deportes | Organiza grupos de estudio activos (camina mientras repasa) | Demuestra liderazgo vocal durante partidos
9,0.9999999999999997,0.04574333394738438,10,0,0,1,Presentó un póster de diseño gráfico con excelente manejo de tipografía y armonía cromática | Diseñó el logotipo oficial de la semana cultural escolar aplicando principios de identidad visual | Creó una campaña de ilustración digital para promover la lectura en la institución | Presentó un portafolio digital con proyectos de composición visual y fotografía artística | Domina herramientas de diseño gráfico para crear infografías y presentaciones visuales impactantes | Elaboró una serie de pósters sobre derechos estudiantiles con excelente uso del color y contraste | Muestra conocimiento avanzado de teoría del color aplicada a proyectos de identidad corporativa | Participó en concurso regional de diseño gráfico y obtuvo mención honorífica | Diseña tipografías personalizadas y experimenta con composición visual en proyectos de clase | Propuso crear un club de diseño gráfico y comunicación visual para estudiantes interesados
10,0.9999999999999986,0.053508949152617793,10,0,0,1,Es capitán del equipo de fútbol escolar y demuestra liderazgo sobresaliente en cancha | Participó en competencia regional de atletismo y obtuvo segundo lugar en carrera de 400 metros | Sigue rutinas de entrenamiento físico rigurosas con disciplina atlética ejemplar | Representó a la institución en torneo interescolar de fútbol; demostró técnica deportiva destacada | Mostró interés en nutrición deportiva y recuperación atlética para optimizar su rendimiento | Organiza sesiones de acondicionamiento físico para sus compañeros antes de los partidos | Investiga sobre psicología deportiva para mejorar su concentración y manejo de la presión | Ganó beca deportiva para participar en campeonato nacional de atletismo juvenil | Combina entrenamiento de fuerza y coordinación motora con metas de alto rendimiento atlético | Demostró resiliencia tras lesión menor; regresó con mayor disciplina y enfoque competitivo
11,1.0,0.04240479890397105,10,0,0,0,Protagonizó la obra de teatro escolar con dominio excepcional de técnicas de actuación y expresión corporal | Redactó un guión teatral original que fue seleccionado para la muestra artística semestral | Participa activamente en el coro escolar con notable afinación vocal y disciplina musical | Dirigió a sus compañeros en un ensayo teatral con responsabilidad y sentido escénico profesional | Toca guitarra y compone canciones breves que integra en sus presentaciones artísticas escolares | Memoriza diálogos extensos con rapidez y precisión; talento natural para las artes escénicas | Estudia historia del teatro universal y analiza obras de dramaturgos clásicos y contemporáneos | Aspira a ingresar a una escuela de artes escénicas y explora técnicas de danza folclórica | Coordina coreografías grupales para actos culturales combinando danza y teatro musical | Lideró producción teatral de fin de semestre con manejo escénico y dirección actoral sobresalientes
12,1.0,0.09947145915169321,10,0,2,0,Presentó planos arquitectónicos detallados de una vivienda sostenible con uso correcto de escala y perspectiva | Construyó una maqueta arquitectónica de cartón y balsa representando un edificio urbano de cinco plantas | Visitó obra de construcción local y elaboró informe técnico sobre sistemas estructurales y materiales utilizados | Analizó edificios históricos de la ciudad identificando estilos arquitectónicos y soluciones de diseño urbano | Muestra curiosidad por cálculo estructural y pregunta sobre resistencia de materiales en edificaciones | Dibuja planos con perspectiva isométrica y planta baja mostrando dominio del razonamiento espacial | Propuso rediseñar los espacios del patio escolar con criterios de accesibilidad y arquitectura sostenible | Investiga sobre urbanismo y planificación de ciudades sustentables como proyecto personal de largo plazo | Construyó maqueta de barrio con sistema vial y zonas verdes aplicando principios de diseño urbano | Ganó primer lugar en concurso escolar de diseño arquitectónico con proyecto de escuela inclusiva
13,1.0,0.04055353654965978,10,0,0,3,Ganó torneo de debate regional representando a la institución con sólida argumentación jurídica | Preside el comité de derechos estudiantiles y analiza el reglamento escolar con enfoque legal | Estudia derecho constitucional y derechos humanos de manera autodidacta con textos jurídicos especializados | Organizó un foro sobre derechos de los estudiantes invitando a un abogado local como ponente | Redacta ensayos de argumentación legal con estructura clara: premisa; argumentos y conclusión jurídica | Simuló un juicio oral en clase actuando como abogada defensora con técnica de oratoria impresionante | Lee jurisprudencia y resoluciones de tribunales para fundamentar sus argumentos en debates escolares | Aspira a ser abogada penalista especializada en defensa de derechos humanos y justicia social | Organizó taller de oratoria jurídica para compañeros interesados en el área del derecho | Representó a la escuela en olimpiada de ciencias sociales y jurídicas obteniendo medalla de plata
14,1.0,0.013552598806993447,10,4,0,0,Ganó la olimpiada de biología escolar con proyecto sobre metabolismo celular y bioquímica | Muestra conocimiento detallado de anatomía humana y fisiología de sistemas orgánicos complejos | Practicó primeros auxilios con botiquín escolar y atendió con calma una emergencia menor en recreo | Propuso instalar un botiquín de primeros auxilios completo en cada aula y capacitar estudiantes | Estudia farmacología básica de forma autodidacta consultando textos de medicina de biblioteca | Presentó proyecto de feria científica sobre cultivo de células y biología molecular con gran rigor | Lee publicaciones médicas en inglés sobre enfermedades emergentes y avances en tratamientos | Tiene clara vocación por la medicina y aspira a especializarse en cirugía o investigación clínica | Organizó charla sobre prevención de enfermedades infecciosas con apoyo de material didáctico propio | Ganó olimpiada regional de biología y fue seleccionado para representar al país en competencia nacional
15,1.0,0.03471023703866668,10,0,2,0,Creó una microempresa escolar de artesanías con registro contable básico y estrategia de ventas | Elaboró un plan de marketing para la feria escolar incluyendo análisis de mercado y segmentación | Participó en feria de emprendimiento juvenil presentando modelo de negocio con análisis costo-beneficio | Lee libros de administración de empresas y aplica conceptos de liderazgo y gestión organizacional | Registra ingresos y egresos de su negocio escolar con estados financieros básicos bien estructurados | Propuso un plan para mejorar la cafetería escolar con control de inventario y reducción de desperdicios | Analiza márgenes de ganancia y costos variables en sus proyectos de emprendimiento estudiantil | Lidera el grupo de jóvenes emprendedores escolares y organiza talleres de finanzas personales | Diseñó campaña publicitaria digital para su empresa escolar con estrategia en redes sociales | Fue reconocida como mejor emprendedora juvenil del trimestre por su proyecto de administración empresarial
16,0.9999999999999997,0.02011378562476303,10,1,0,0,Fundó el club de ecología escolar y organizó el primer huerto escolar con sistema de compostaje | Instaló un sistema de cultivo hidropónico en el laboratorio usando materiales reciclados de bajo costo | Investigó tipos de suelos y su relación con la productividad agrícola en climas tropicales | Organizó brigada de reforestación en área verde cercana a la escuela plantando 50 árboles nativos | Lee sobre agroecología y manejo sostenible de semillas para producción de alimentos orgánicos | Diseñó un sistema de riego eficiente por goteo para el huerto escolar reduciendo consumo de agua | Propuso jardín de plantas medicinales en terreno escolar con fines educativos y comunitarios | Aspira a trabajar en proyectos de seguridad alimentaria y desarrollo agrícola sostenible | Presentó proyecto de manejo de residuos orgánicos y producción de abono para el huerto escolar | Ganó concurso regional de proyectos ambientales con su sistema de cultivo hidropónico escolar
17,1.0,0.048379025367912304,10,0,0,1,Actúa como mediadora voluntaria en conflictos entre compañeros aplicando escucha activa y empatía | Organizó taller de inteligencia emocional para el grupo con dinámicas de autoconocimiento y regulación | Lidera el grupo de apoyo en salud mental estudiantil y orienta a compañeros en situaciones difíciles | Lee libros de psicología del desarrollo y cognitivo-conductual para profundizar en comprensión del comportamiento | Demostró habilidades de counseling al apoyar a un compañero con crisis de ansiedad de manera efectiva | Facilita actividades de cohesión grupal que mejoran el clima del aula y las relaciones interpersonales | Investiga sobre terapia cognitivo-conductual y neuropsicología como áreas de especialización futura | Aspira a convertirse en psicóloga escolar especializada en intervención temprana y salud mental infantil | Colabora con el equipo de orientación aplicando técnicas de escucha reflexiva en sesiones grupales | Fue reconocida por su excepcional empatía y habilidades de apoyo emocional entre la comunidad estudiantil
18,1.0,0.02192776130259179,10,1,0,0,Organizó una preparación de recetas en la clase de ciencias explicando reacciones químicas en la cocina | Presentó exposición sobre gastronomía latinoamericana con historia culinaria y técnicas de preparación | Ganó concurso de cocina juvenil con receta original que combinó sabores y texturas de forma creativa | Diseñó menús nutricionalmente equilibrados para eventos escolares aplicando conocimientos de dietética | Experimenta con especias y técnicas culinarias en casa y documenta sus recetas en un cuaderno personal | Explicó en clase la química de los alimentos y los procesos de fermentación con ejemplos prácticos | Investiga historia culinaria de diferentes culturas y documenta técnicas de cocina internacional | Comparte recetas propias en redes sociales y planea especializarse en cocina internacional y repostería | Propuso organizar un festival gastronómico escolar con degustación de platos de distintos países | Sueña con abrir su propio restaurante y está explorando escuelas de gastronomía profesional
19,0.9999999999999999,0.2805606304238885,10,0,0,1,Presenta ausencias injustificadas frecuentes que afectan gravemente su rendimiento académico | Muestra marcado desinterés en la mayoría de las asignaturas y no entrega tareas con regularidad | Se aísla socialmente durante los recreos y evita participar en actividades grupales del aula | Conflictos frecuentes con compañeros y con algunos docentes que dificultan el proceso de aprendizaje | Presenta dificultades familiares severas que impactan directamente en su asistencia y motivación escolar | Inició proceso de orientación psicológica escolar para abordar desmotivación y problemas de conducta | Protagonizó episodio de abandono de aula; se requiere intervención urgente y plan de apoyo integral | Calificaciones por debajo del mínimo en la mayoría de materias; situación académica en riesgo crítico | Muestra habilidades artísticas incipientes pero la desmotivación generalizada impide su desarrollo pleno | Se activó plan de intervención integral con familia y equipo multidisciplinario para prevenir deserción
20,1.0,0.04065884534313422,10,0,0,0,Desarrolla videojuegos sencillos con motores gráficos en casa y los comparte con compañeros del aula | Programa scripts y modificaciones para videojuegos populares usando Python y JavaScript con fluidez | Participó en game jam escolar y desarrolló un prototipo de juego en 48 horas con mecánicas originales | Apasionado por el diseño de niveles y la narrativa interactiva en el desarrollo de videojuegos indie | Crea animaciones digitales y sprites para sus proyectos de programación de videojuegos personales | Investiga el uso de inteligencia artificial aplicada al comportamiento de personajes en videojuegos | Participa en competencias de programación y ocupa los primeros lugares con proyectos de game development | Comparte proyectos indie en plataformas online y recibe retroalimentación de la comunidad de desarrolladores | Propuso crear un club de desarrollo de videojuegos y programación creativa en la institución | Su dominio de game engines y lógica de programación lo posiciona como referente técnico del grupo
